3062
10002 9896 66,479 KR74-48A(KR74-48A)
10023 10262 191,831 KR76-51(KR76-51)
10023 9875 49,063 CL50-76(AVENIDA_COLOMBIA)
10024 10234 108,935 KR72A-45E(KR72A-45E)
10025 10050 78,720 KR72-43(KR72-43)
10025 10343 114,647 CL43-71(CL43-71)
10025 9994 78,576 KR72-42(KR72-42)
10036 10083 39,118 KR77B-53(KR77B-53)
10036 10083 39,118 KR77B-53A(KR77B-53A)
10037 10024 43,583 KR72A-45E(KR72A-45E)
10037 10116 29,699 CL45E-72(CL45E-72)
10038 10385 139,254 CL50-74(AVENIDA_COLOMBIA)
10050 10366 114,148 CL44-71(AVENIDA_SANJUAN)
10051 9906 73,402 TV39B-70(AVENIDA_NUTIBARA)
10052 9674 117,293 CL44-72(AVENIDA_SANJUAN)
10063 10167 71,414 KR72-2(KR72-2)
10063 10345 103,202 CC3-71(Cir3-71)
10063 9809 105,891 CC3-72(Cir3-72)
10063 9993 74,149 KR72-3(KR72-3)
10068 10234 58,811 CL47-72(CL47-72)
10068 10234 58,811 CL47-72A(CL47-72A)
10070 10052 65,828 KR72-44(KR72-44)
10070 10392 114,869 CL44A-71(CL44A-71)
10076 10256 75,681 CC1-72(Cir1-72)
10076 9860 138,157 CC1-73(Cir1-73)
10076 9945 80,090 KR73-1(AVENIDA_JARDIN)
10080 10250 86,831 DG74B-69C(AVENIDA_BOLIVARIANA)
10080 9871 88,284 DG74B-70(AVENIDA_BOLIVARIANA)
10082 10199 76,508 CL48B-73()
10083 10174 56,778 KR77B-53(KR77B-53)
10083 10174 56,778 KR77B-54(KR77B-54)
10088 10028 23,436 CL32D-69C(CL32D-69C)
10088 10080 32,725 KR69C-32D(KR69C-32D)
10088 10253 58,487 CL32D-69B(CL32D-69B)
10094 10088 104,778 KR69C-32C(KR69C-32C)
10094 10273 70,942 CL32C-69(CL32C-69)
10094 10273 70,942 CL32C-69B(CL32C-69B)
10096 10094 53,016 KR69C-32B(KR69C-32B)
10096 10450 129,693 CL32B-69(CL32B-69)
10096 9918 57,598 CL32B-69C(CL32B-69C)
10100 10070 81,625 KR72-44A(KR72-44A)
10100 10415 115,976 CL45D-71(CL45D-71)
10103 10096 50,649 KR69C-32A(KR69C-32A)
10103 10096 50,649 KR69C-32AA(KR69C-32AA)
10113 10103 76,302 KR69C-32A(KR69C-32A)
10113 10103 76,302 KR69C-32AA(KR69C-32AA)
10114 10113 45,377 KR69C-32(KR69C-32)
10116 10100 70,521 KR72-45D(KR72-45D)
10116 10415 134,214 CL45E-71(CL45E-71)
10128 10114 55,550 KR69C-30C(KR69C-30C)
10128 10114 55,550 KR69C-31A(KR69C-31A)
10129 10296 65,652 CL41A-71(CL41A-71)
10129 9912 73,575 CL41A-71A(CL41A-71A)
10135 10128 79,235 KR69C-30B(KR69C-30B)
10135 10128 79,235 KR69C-30C(KR69C-30C)
10139 10135 48,062 KR69C-30A(KR69C-30A)
10139 10135 48,062 KR69C-30B(KR69C-30B)
10139 10278 50,512 CL30B-69B(CL30B-69B)
10142 10324 74,908 CL49B-74(CL49B-74)
10142 9961 65,341 CL49B-75(CL49B-75)
10146 10139 59,645 KR69C-30A(KR69C-30A)
10146 10644 197,873 CL30A-69(CL30A-69)
10148 10250 38,010 DG0-0(DG0-0)
10148 9726 203,236 DG74B-32EE(AVENIDA_BOLIVARIANA)
10156 10002 99,839 KR74-48B(KR74-48B)
10156 10324 149,407 KR74-49(KR74-49)
10167 10063 74,393 KR72-2(KR72-2)
10167 10256 79,991 KR72-1(KR72-1)
10167 10373 86,382 CC2-71(Cir2-71)
10167 9945 90,199 CC2-72(Cir2-72)
10168 10129 117,862 KR71A-5(KR71A-5)
10168 9994 58,359 CL42-71A(CL42-71A)
10174 10229 49,054 KR77B-53(KR77B-53)
10174 10229 49,054 KR77B-54A(KR77B-54A)
10191 10047 73,015 TV39A-70(TV39A-70)
10191 9415 285,454 CL33-39A(AVENIDA_33)
10196 10146 88,083 KR69C-30(KR69C-30)
10196 9981 73,799 CL30-69C(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
10224 10448 256,004 KR69B-27(KR69B-27)
10229 10821 308,265 CL55-74A(CL55-74A)
10231 10148 43,908 DG74B-32F(AVENIDA_BOLIVARIANA)
10231 10337 39,689 DG0-0(DG0-0)
10234 10404 66,776 CL47-72(CL47-72)
10250 10337 47,800 DG74B-32F(AVENIDA_BOLIVARIANA)
10250 10396 56,329 CL32F-69(CL32F-69)
10253 10250 93,095 KR69B-32D(KR69B-32D)
10253 10400 55,978 CL32D-69(CL32D-69)
10256 10076 81,998 CC1-72(Cir1-72)
10256 10167 78,913 KR72-1(KR72-1)
10256 10406 61,269 CC1-71(Cir1-71)
10268 10128 51,338 CL31A-69B(CL31A-69B)
10268 10442 66,084 CL31A-69A(CL31A-69A)
10273 10253 92,814 KR69B-32C(KR69B-32C)
10278 10268 125,800 KR69B-30B(KR69B-30B)
10279 10114 59,101 CL32-69B(CL32-69B)
10279 10268 59,256 KR69B-31A(KR69B-31A)
10280 10103 62,689 CL32AA-69(CL32AA-69)
10280 10103 62,689 CL32AA-69B(CL32AA-69B)
10280 10279 118,864 KR69B-32(KR69B-32)
10296 10129 67,474 CL41A-71(CL41A-71)
10296 10308 79,926 KR71-4(KR71-4)
10296 10319 86,608 KR71-5(KR71-5)
10296 10471 73,701 CC5-70(Cir5-70)
10296 10471 73,884 CL41A-70(CL41A-70)
10297 10924 343,154 CL55-74A(CL55-74A)
10300 10738 225,668 CL53-74(CL53-74)
10308 10296 76,519 KR71-4(KR71-4)
10308 10345 72,190 KR71-3(KR71-3)
10308 10652 142,261 CC4-70(Cir4-70)
10308 9993 120,238 CC4-71(Cir4-71)
10310 10231 45,694 DG74B-32F(AVENIDA_BOLIVARIANA)
10311 10051 129,390 TV39B-70(AVENIDA_NUTIBARA)
10319 10168 58,001 CL42-71(CL42-71)
10319 10343 79,339 KR71-42(KR71-42)
10319 10691 159,079 CL42-70(CL42-70)
10324 10156 150,358 KR74-49(KR74-49)
10324 10385 68,310 KR74-49B(KR74-49B)
10337 10436 51,246 DG74B-32F(AVENIDA_BOLIVARIANA)
10342 10310 24,938 -(AVENIDA_BOLIVARIANA)
10342 10436 43,566 DG0-0(DG0-0)
10343 10366 80,672 KR71-43(KR71-43)
10343 10570 94,864 CL43-70A(CL43-70A)
10345 10063 104,744 CC3-71(Cir3-71)
10345 10308 71,977 KR71-3(KR71-3)
10345 10373 75,662 KR71-2(KR71-2)
10345 10640 124,223 CC3-70(Cir3-70)
10356 10191 71,758 CL33-39B(AVENIDA_33)
10356 10342 34,256 -(0-0)
10366 10459 35,332 CL44-70A(AVENIDA_SAN_JUAN)
10369 10052 115,232 CL44-71(AVENIDA_SAN_JUAN)
10369 10392 65,593 KR71-44(KR71-44)
10373 10167 89,571 CC2-71(Cir2-71)
10373 10345 74,877 KR71-2(KR71-2)
10373 10406 77,637 KR71-1(KR71-1)
10373 10602 98,098 CC2-70(Cir2-70)
10376 10448 27,440 CL30-69B(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
10385 10023 149,818 CL50-74(AVENIDA_COLOMBIA)
10385 10324 64,146 KR74-49B(KR74-49B)
10385 10473 62,466 KR74-50(KR74-50)
10385 10662 130,378 CL50-73(AVENIDA_COLOMBIA)
10392 10415 87,162 KR71-44A(KR71-44A)
10392 10747 159,385 CL44A-70(CL44A-70)
10396 10533 55,126 CL32F-68(CL32F-68)
10404 10116 156,675 KR72-45E(KR72-45E)
10404 10545 57,578 CL47-71(CL47-71)
10405 10396 55,730 KR69-32E(KR69-32E)
10405 10400 39,391 KR69-32D(KR69-32D)
10406 10256 66,658 CC1-71(Cir1-71)
10406 10373 77,162 KR71-1(KR71-1)
10406 10581 77,553 CC1-70(Cir1-70)
10409 10273 52,534 CL32C-69(CL32C-69)
10409 10400 93,539 KR69-32C(KR69-32C)
10415 10418 20,802 KR71-44A(KR71-44A)
10415 10418 20,802 KR71-45E(KR71-45E)
10416 10196 85,825 CL30-69B(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
10416 11082 312,989 CL30-66B(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
10418 10451 61,606 KR71-45E(KR71-45E)
10418 10572 63,808 CL45E-70B(CL45E-70B)
10433 10311 56,536 -(0-0)
10433 10356 41,029 CL0-0(CL0-0)
10435 10280 59,140 CL32AA-69(CL32AA-69)
10436 10520 42,824 DG74B-33(DG74B-33)
10437 10379 22,119 CL32A-69(CL32A-69)
10437 10435 28,200 KR69-32A(KR69-32A)
10442 10551 44,031 CL31A-69(CL31A-69)
10446 10051 214,041 -(AVENIDA_NUTIBARA)
10446 9415 341,640 -(AVENIDA_33)
10450 10409 67,531 KR69-32B(KR69-32B)
10450 10474 53,106 KR69-32AA(KR69-32AA)
10451 10491 62,744 KR71-45E(KR71-45E)
10451 10491 62,744 KR71-45F(KR71-45F)
10451 10722 120,641 CL46F-70A(CL46F-70A)
10459 10570 98,824 KR70A-43(KR70A-43)
10459 10730 125,914 CL44-70(AVENIDA_SAN_JUAN)
10471 10659 91,408 CC5-70(Cir5-70)
10471 10679 114,311 CL41A-70(CL41A-70)
10473 10718 121,097 CL51-73(CL51-73)
10474 10435 14,240 CL32AA-69(CL32AA-69)
10474 10514 121,933 KR69-32(KR69-32)
10491 10545 58,580 KR71-45E(KR71-45E)
10491 10545 58,580 KR71-46(KR71-46)
10491 10741 115,877 CL46-70A(CL46-70A)
10507 9871 337,746 DG74B-0(AVENIDA_BOLIVARIANA)
10514 10279 95,427 CL32-69(CL32-69)
10514 10551 51,472 KR69-30A(KR69-30A)
10514 10551 51,472 KR69-31A(KR69-31A)
10520 10534 24,161 DG32F-33(DG32F-33)
10520 10906 181,948 CL33-66B(AVENIDA_33)
10531 10405 52,125 CL32E-68(CL32E-68)
10533 10531 58,256 KR68-32E(KR68-32E)
10533 10892 172,046 CL32F-66C(CL32F-66C)
10534 10433 57,463 -(0-0)
10534 10648 71,674 DG74B-33(AVENIDA_BOLIVARIANA)
10543 10409 54,849 CL32C-68(CL32C-68)
10543 10531 132,576 KR68-32C(KR68-32C)
10545 10556 64,910 KR71-47(KR71-47)
10545 10773 112,330 CL47-70A(CL47-70A)
10556 10942 184,429 CL47D-70(AVENIDA_ANTONIO_ROLDAN)
10559 10769 102,506 CL44B-70(CL44B-70)
10570 10695 84,212 KR70A-42(KR70A-42)
10570 10709 64,252 CL43-70(CL43-70)
10572 10559 50,751 KR70B-44B(KR70B-44B)
10572 10705 62,065 CL45E-70A(CL45E-70A)
10574 10311 111,456 -(0-0)
10574 10433 67,081 KR66B-0(AVENIDA_BOLIVARIANA)
10581 10406 80,838 CC1-70(Cir1-70)
10581 10655 32,556 CC1-69(Cir1-69)
10581 10655 39,869 CC1-69(Cir1-69)
10602 10373 100,858 CC2-70(Cir2-70)
10602 10581 76,808 KR70-1(AVENIDA_EL_COLOMBIANO)
10602 10724 57,201 CC2-69(Cir2-69)
10605 10507 62,286 KR66B-0(KR66B-0)
10640 10345 125,910 CC3-70(Cir3-70)
10640 10602 70,743 KR70-2(AVENIDA_EL_COLOMBIANO)
10640 10779 78,434 CC3-69(Cir3-69)
10644 10551 194,589 KR69-30A(KR69-30A)
10644 11063 201,291 CL30A-67(CL30A-67)
10648 10574 32,463 -(0-0)
10648 10719 50,575 KR66B-34(AVENIDA_BOLIVARIANA)
10648 10866 109,950 CL34-66B(CL34-66B)
10652 10308 143,867 CC4-70(Cir4-70)
10652 10640 69,888 KR70-3(AVENIDA_EL_COLOMBIANO)
10652 10659 70,461 KR70-4(AVENIDA_EL_COLOMBIANO)
10652 10837 101,598 CC4-69(Cir4-69)
10655 10724 77,274 KR69-1(KR69-1)
10655 10920 167,536 CC1-68(Cir1-68)
10659 10679 66,089 KR70-5(AVENIDA_EL_COLOMBIANO)
10659 10915 126,826 CC5-69(Cir5-69)
10662 10799 77,341 CL50-72(AVENIDA_COLOMBIA)
10663 10574 62,655 KR66B-34(AVENIDA_BOLIVARIANA)
10663 10719 35,393 -(0-0)
10679 10691 20,776 KR70-41A(AVENIDA_EL_COLOMBIANO)
10691 10812 72,293 CL42-69A(CL42-69A)
10695 10691 11,262 KR70-42(AVENIDA_EL_COLOMBIANO)
10701 10531 78,327 CL32E-67(CL32E-67)
10701 10706 55,323 KR67-32D(KR67-32D)
10705 10722 58,757 KR70A-45E(KR70A-45E)
10705 10801 50,536 CL45E-70(CL45E-70)
10706 10904 98,003 CL32D-66C(CL32D-66C)
10708 10706 44,256 KR67-32C(KR67-32C)
10708 10710 33,089 KR67-32B(KR67-32B)
10708 10710 33,089 KR67-32C(KR67-32C)
10709 10695 53,147 KR70-42(AVENIDA_EL_COLOMBIANO)
10709 10848 73,173 CL43-69(CL43-69)
10709 10848 73,173 CL43-69A(CL43-69A)
10710 10543 76,542 CL32C-67(CL32C-67)
10710 10715 65,688 KR67-32B(KR67-32B)
10715 10450 116,507 CL32B-67(CL32B-67)
10718 10662 58,856 KR73-50(KR73-50)
10718 10750 41,661 KR73-51(KR73-51)
10718 10868 84,198 CL51-72(CL51-72)
10719 10939 156,387 KR66B-34A(AVENIDA_BOLIVARIANA)
10722 10741 62,422 KR70A-45E(KR70A-45E)
10722 10741 62,422 KR70A-45F(KR70A-45F)
10724 10602 57,844 CC2-69(Cir2-69)
10724 10655 75,309 KR69-1(KR69-1)
10724 10779 72,332 KR69-2(KR69-2)
10724 11005 157,272 CC2-68(Cir2-68)
10730 10369 160,278 CL44-70(AVENIDA_SAN_JUAN)
10730 10709 86,887 KR70-43(AVENIDA_EL_COLOMBIANO)
10730 10747 71,380 KR70-44(AVENIDA_EL_COLOMBIANO)
10730 11026 149,054 CL44-69(AVENIDA_SAN_JUAN)
10738 10966 127,597 CL53-73(CL53-73)
10741 10773 76,528 KR70A-46(KR70A-46)
10747 10769 52,691 KR70-44A(AVENIDA_EL_COLOMBIANO)
10747 10919 84,102 CL44A-69A(CL44A-69A)
10750 10826 88,106 KR73-51A(KR73-51A)
10750 10917 86,980 CL51A-72(CL51A-72)
10769 10801 58,555 KR70-44B(AVENIDA_EL_COLOMBIANO)
10773 10913 64,128 CL47-70(CL47-70)
10779 10640 77,657 CC3-69(Cir3-69)
10779 10724 74,069 KR69-2(KR69-2)
10779 10869 46,644 CC3-68C(Cir3-68C)
10779 10915 147,526 KR69-3(KR69-3)
10796 10708 47,814 CL32C-66C(CL32C-66C)
10796 10708 47,814 CL32C-66D(CL32C-66D)
10799 10883 43,816 CL50-71B(AVENIDA_COLOMBIA)
10801 10828 55,401 KR70-45E(AVENIDA_EL_COLOMBIANO)
10804 10715 49,235 CL32B-66D(CL32B-66D)
10804 10796 96,959 KR66D-32B(KR66D-32B)
10812 10953 71,105 CL42-69(CL42-69)
10821 11000 121,094 CL55-74(CL55-74)
10826 10262 274,674 CL52-73(CL52-73)
10826 10966 111,690 KR73-52(KR73-52)
10826 10993 86,184 CL52-72(CL52-72)
10828 10871 65,808 KR70-46(AVENIDA_EL_COLOMBIANO)
10828 10964 60,910 CL46-69A(CL46-69A)
10832 10903 32,524 CL48-70(CL48-70)
10837 10652 103,350 CC4-69(Cir4-69)
10837 10779 74,874 KR69-3(KR69-3)
10848 10812 92,730 KR69A-42(KR69A-42)
10848 10995 68,855 CL43-69(CL43-69)
10866 10873 95,172 KR66AA-34(KR66AA-34)
10866 11035 79,983 CL34-66B(CL34-66B)
10867 10605 176,337 KR66B-0(AVENIDA_BOLIVARIANA)
10867 10663 132,077 KR66B-1(AVENIDA_BOLIVARIANA)
10868 10799 61,643 KR72-50(KR72-50)
10868 10917 44,274 KR72-51(KR72-51)
10868 10940 38,902 CL51-71A(CL51-71A)
10868 10940 38,902 CL51-71B(CL51-71B)
10869 10948 43,164 CC3-68B(Cir3-68B)
10871 10913 76,640 KR70-46B(AVENIDA_EL_COLOMBIANO)
10871 11004 64,497 CL46B-69A(CL46B-69A)
10873 11035 125,869 CL34A-66A(CL34A-66A)
10883 10940 56,797 KR71B-50(KR71B-50)
10883 10977 46,474 CL50-71A(AVENIDA_COLOMBIA)
10889 10832 35,472 KR70-48(KR70-48)
10889 11143 291,469 KR70-48(KR70-48)
10892 10897 55,645 KR66C-32E(KR66C-32E)
10892 11024 63,475 CL32F-66B(CL32F-66B)
10897 10701 96,203 CL32E-66C(CL32E-66C)
10903 10889 27,828 KR70-48(KR70-48)
10903 11453 241,730 CL48-68(CL48-68)
10904 10897 55,955 KR66C-32D(KR66C-32D)
10906 11006 52,362 CL33-66B(AVENIDA_33)
10907 10796 50,472 CL32C-66C(CL32C-66C)
10907 10904 46,015 KR66C-32C(KR66C-32C)
10908 10804 47,037 CL32B-66C(CL32B-66C)
10908 10907 97,251 KR66C-32B(KR66C-32B)
10911 10446 215,407 CL0-0(AVENIDA_33)
10911 10534 179,438 CL33-66B(AVENIDA_33)
10913 10942 65,006 KR70-47(AVENIDA_EL_COLOMBIANO)
10913 11022 55,244 CL47-68A(CL47-68A)
10913 11022 55,244 CL47-69A(CL47-69A)
10915 10659 128,824 CC5-69(Cir5-69)
10915 10837 70,869 KR69-4(KR69-4)
10915 11003 48,682 CC5-68C(Cir5-68C)
10917 10993 86,934 KR72-51A(KR72-51A)
10917 11090 86,114 CL51A-71A(CL51A-71A)
10919 10934 67,046 KR69A-44A(KR69A-44A)
10919 11052 61,429 CL44A-68A(CL44A-68A)
10919 11052 61,429 CL44A-69(CL44A-69)
10920 11178 122,475 CC1-67(Cir1-67)
10924 10821 73,627 KR74A-55(KR74A-55)
10924 11066 77,571 CL55-74(CL55-74)
10925 10903 44,587 KR70-47D(AVENIDA_EL_COLOMBIANO)
10930 10655 162,763 CC1-68(Cir1-68)
10930 11005 89,525 KR68-1(KR68-1)
10934 10964 100,221 KR69A-44B(KR69A-44B)
10934 11074 61,837 CL44B-69(CL44B-69)
